Question,Answer
What is the UGC's authority to award degrees?,The University is empowered to award degrees as specified by the UGC under section 22 of the UGC Act.
Is the University eligible to receive central assistance under Section 12B of the UGC Act?,"The University has been declared eligible to receive central assistance under Section 12B of the UGC Act vide letter F.No.9-36/2009(CPP-I/PU) dated 8th November, 2012.

This legendary University is named after Veer Surendra Sai, the great Indian freedom fighter who was born on 23rd January 1809 and sacrificed his life fighting against the British and died in obscurity in Asirgarh Jail on 28 February 1884."
Is the University eligible for central assistance under Section 12B of the UGC Act?,"The University has been declared eligible to receive central assistance under Section 12B of the UGC Act vide letter F.No.9-36/2009(CPP-I/PU) dated 8th November, 2012.

This legendary University is named after Veer Surendra Sai, the great Indian freedom fighter who was born on 23rd January 1809 and sacrificed his life fighting against the British and died in obscurity in Asirgarh Jail on 28 February 1884."
Has the University been declared eligible to receive central assistance under Section 12B of the UGC Act?,"The University has been declared eligible to receive central assistance under Section 12B of the UGC Act vide letter F.No.9-36/2009(CPP-I/PU) dated 8th November, 2012.

This legendary University is named after Veer Surendra Sai, the great Indian freedom fighter who was born on 23rd January 1809 and sacrificed his life fighting against the British and died in obscurity in Asirgarh Jail on 28 February 1884."
What is Veer Surendra Sai's role model?,"In a University where so many young scholars have come to build their lives, Veer Surendra Sai is a perfect role model for our professionals in making to dedicate their life to the cause of motherland."
Veer Surendra Sai is a perfect role model for our professionals in making to dedicate their life to the cause of motherland?,"In a University where so many young scholars have come to build their lives, Veer Surendra Sai is a perfect role model for our professionals in making to dedicate their life to the cause of motherland."
Veer Surendra Sai is a perfect role model for our professionals in making to dedicate their life to the cause of motherland.,"In a University where so many young scholars have come to build their lives, Veer Surendra Sai is a perfect role model for our professionals in making to dedicate their life to the cause of motherland."
How does the University feel about the life of Odisha's hero?,"The University continues to feel proud for this real life hero.

Situated at the foothill of world famous Hirakud dam, the early history of the University is a fascinating chapter in the story of technical education in Odisha."
Does the University still feel proud for this real life hero?,"The University continues to feel proud for this real life hero.

Situated at the foothill of world famous Hirakud dam, the early history of the University is a fascinating chapter in the story of technical education in Odisha."
Does the University feel proud for the real life hero?,"The University continues to feel proud for this real life hero.

Situated at the foothill of world famous Hirakud dam, the early history of the University is a fascinating chapter in the story of technical education in Odisha."
What is the date of the establishment?,Established on 12th Aug.
What was the name of the company that was established on 12th Aug?,Established on 12th Aug.
What was the date of the establishment?,Established on 12th Aug.
What was the name of the first engineering college?,"1956, at Burla in the name of University College of Engineering (UCE), the first engineering college was functioning as a constituent college of Utkal University, Bhubaneswar."
"In 1956, what was the name of the first engineering college?","1956, at Burla in the name of University College of Engineering (UCE), the first engineering college was functioning as a constituent college of Utkal University, Bhubaneswar."
When was the first engineering college in Bhubaneswar?,"1956, at Burla in the name of University College of Engineering (UCE), the first engineering college was functioning as a constituent college of Utkal University, Bhubaneswar."
What was the primary goal of the engineering college?,"The primary objective was of establishing the engineering college is to produce engineers who can manage Hirakud Dam.

The University occupies nearly 300 acres of prime land in Burla."
What was the primary goal of establishing the engineering college?,"The primary objective was of establishing the engineering college is to produce engineers who can manage Hirakud Dam.

The University occupies nearly 300 acres of prime land in Burla."
What is the primary goal of the engineering college?,"The primary objective was of establishing the engineering college is to produce engineers who can manage Hirakud Dam.

The University occupies nearly 300 acres of prime land in Burla."
The contribution from the Irrigation Department of Odisha was the decisive element in determining the location of the University of Burla.,"Indeed, the contribution from the Irrigation Department of Odisha was the decisive element in determining the location of this University.

Burla is located at 21°30′N 83°52′E21.5°N 83.87°E."
The contribution from the Irrigation Department of Odisha was the decisive element in determining the location of the University of Burla,"Indeed, the contribution from the Irrigation Department of Odisha was the decisive element in determining the location of this University.

Burla is located at 21°30′N 83°52′E21.5°N 83.87°E."
The contribution from the Irrigation Department of Odisha was the decisive element in determining the location of Burla University.,"Indeed, the contribution from the Irrigation Department of Odisha was the decisive element in determining the location of this University.

Burla is located at 21°30′N 83°52′E21.5°N 83.87°E."
How tall is the city?,It has an average elevation of 173 metres (567 feet).
How tall is it?,It has an average elevation of 173 metres (567 feet).
How tall is the island?,It has an average elevation of 173 metres (567 feet).
Where is the Hirakud Dam?,The town lies at one end of Hirakud Dam which is located around 2 km north-west of the town.
Where is Hirakud Dam?,The town lies at one end of Hirakud Dam which is located around 2 km north-west of the town.
What is the location of Hirakud Dam?,The town lies at one end of Hirakud Dam which is located around 2 km north-west of the town.
"The Jawahar Minar offers picturesque views of the dam, lake and surrounding forests","The Jawahar Minar offers picturesque views of the dam, the lake and the surrounding forests of Barapahad (12 hills)."
"The Jawahar Minar offers picturesque views of the dam, lake, and surrounding forests.","The Jawahar Minar offers picturesque views of the dam, the lake and the surrounding forests of Barapahad (12 hills)."
"The Jawahar Minar offers picturesque views of the dam, lake and surrounding forests.","The Jawahar Minar offers picturesque views of the dam, the lake and the surrounding forests of Barapahad (12 hills)."
Where is the VSS Medical College located?,"At the otherside of the dam is the township of Hirakud.

The Burla town is piquant and truly a university town as it hosts the Sambalpur University, the VSS Medical College and the Veer Surendra Sai University of Technology, Burla, besides numerous schools and colleges."
Where is the Sambalpur University?,"At the otherside of the dam is the township of Hirakud.

The Burla town is piquant and truly a university town as it hosts the Sambalpur University, the VSS Medical College and the Veer Surendra Sai University of Technology, Burla, besides numerous schools and colleges."
Where is the Sambalpur University located?,"At the otherside of the dam is the township of Hirakud.

The Burla town is piquant and truly a university town as it hosts the Sambalpur University, the VSS Medical College and the Veer Surendra Sai University of Technology, Burla, besides numerous schools and colleges."
It is the most ideal place for learning and to achieve one�TMs priviledged dreams.,It is the most ideal place for learning and to achieve one’s priviledged dreams.
It is the most ideal place for learning and to achieve one�TMs privledged dreams.,It is the most ideal place for learning and to achieve one’s priviledged dreams.
It is the most ideal place for learning and to achieve one�TMs privileged dreams.,It is the most ideal place for learning and to achieve one’s priviledged dreams.
"How is Burla connected to Bhubaneswar, Jharsuguda, Raipur and Kolkata?","Burla is well connected to Bhubaneswar, Jharsuguda, Raipur and Kolkata with roads and railways."
"Is Burla well connected to Bhubaneswar, Jharsuguda, Raipur, and Kolkata?","Burla is well connected to Bhubaneswar, Jharsuguda, Raipur and Kolkata with roads and railways."
"Is Burla well connected to Bhubaneswar, Jharsuguda, Raipur and Kolkata?","Burla is well connected to Bhubaneswar, Jharsuguda, Raipur and Kolkata with roads and railways."
How far away is Burla from Sambalpur?,"Burla is only 10km away from Sambalpur by road and railways.
In 1956, UCE started with 20 students enrolling into 3 branches, namely the Civil Engineering, the Electrical Engineering and the Mechanical Engineering."
How far is Burla from Sambalpur?,"Burla is only 10km away from Sambalpur by road and railways.
In 1956, UCE started with 20 students enrolling into 3 branches, namely the Civil Engineering, the Electrical Engineering and the Mechanical Engineering."
How far away is Burla from Sambalpur by road and railway?,"Burla is only 10km away from Sambalpur by road and railways.
In 1956, UCE started with 20 students enrolling into 3 branches, namely the Civil Engineering, the Electrical Engineering and the Mechanical Engineering."
Was UCE transferred to the administrative control of Sambalpur University in 1967?,"Subsequently, UCE got transferred to the administrative control of Sambalpur University in January 1967 and later on to Biju Patnaik University of Technology (BPUT) by BPUT Act-2002 in July, 2002.

With a glorious history stretching back over 55 years, providing technical education within a modern educational environment and strong academic staff, VSSUT is strongly identified with engineering education in India."
Was UCE transferred to the administrative control of Sambalpur University in January 1967?,"Subsequently, UCE got transferred to the administrative control of Sambalpur University in January 1967 and later on to Biju Patnaik University of Technology (BPUT) by BPUT Act-2002 in July, 2002.

With a glorious history stretching back over 55 years, providing technical education within a modern educational environment and strong academic staff, VSSUT is strongly identified with engineering education in India."
What did the transfer of UCE to BPUT lead to?,"Subsequently, UCE got transferred to the administrative control of Sambalpur University in January 1967 and later on to Biju Patnaik University of Technology (BPUT) by BPUT Act-2002 in July, 2002.

With a glorious history stretching back over 55 years, providing technical education within a modern educational environment and strong academic staff, VSSUT is strongly identified with engineering education in India."
Has VSSUT always led the way in reform movements?,"Since its inception and foundation, VSSUT has constantly lead the way in reform movements, taking pivotal roles in the reconstruction, modernization, and administration of the society."
Has the VSSUT always led the way in reform movements?,"Since its inception and foundation, VSSUT has constantly lead the way in reform movements, taking pivotal roles in the reconstruction, modernization, and administration of the society."
Has VSSUT led the way in reform movements?,"Since its inception and foundation, VSSUT has constantly lead the way in reform movements, taking pivotal roles in the reconstruction, modernization, and administration of the society."
What kind of questions does VSSUT's alumni base have?,"The University has a strong alumni base, most of them occupying coveted positions in many educational, industrial and research organizations all over the world.

The efforts and expertise of VSSUT graduates have been major contributors in the planning and construction of Odisha's infrastructure.

VSSUT provides its students with modern educational facilities while retaining traditional values, as well as using its strong industrial contacts to mold young, talented individuals who can compete in the global arena."
Does VSSUT have a strong alumni base?,"The University has a strong alumni base, most of them occupying coveted positions in many educational, industrial and research organizations all over the world.

The efforts and expertise of VSSUT graduates have been major contributors in the planning and construction of Odisha's infrastructure.

VSSUT provides its students with modern educational facilities while retaining traditional values, as well as using its strong industrial contacts to mold young, talented individuals who can compete in the global arena."
What type of questions does VSSUT's alumni base have?,"The University has a strong alumni base, most of them occupying coveted positions in many educational, industrial and research organizations all over the world.

The efforts and expertise of VSSUT graduates have been major contributors in the planning and construction of Odisha's infrastructure.

VSSUT provides its students with modern educational facilities while retaining traditional values, as well as using its strong industrial contacts to mold young, talented individuals who can compete in the global arena."
What is the goal of VSSUT?,The aim of VSSUT is to rank among leading universities globally.
What is the aim of VSSUT?,The aim of VSSUT is to rank among leading universities globally.
What is the goal of the VSSUT?,The aim of VSSUT is to rank among leading universities globally.
What is the purpose of VSSUT?,"Consequently, VSSUT’s mission is to educate individuals to be competitive not only in India, but all over the world."
"What is the VSSUT's mission to educate individuals to be competitive not only in India, but all over the world?","Consequently, VSSUT’s mission is to educate individuals to be competitive not only in India, but all over the world."
What is the VSSUT's mission?,"Consequently, VSSUT’s mission is to educate individuals to be competitive not only in India, but all over the world."
What kind of questions does VSSUT ask?,"Within an intensely competitive environment, the University has adopted a dynamic, global, high-quality, creative and communicative approach in education, as well as research and development.

Keeping abreast with modern developments, VSSUT is constantly restructuring itself and renovating its physical infrastructure as well as its research and education facilities."
What kind of questions does VSSUT have?,"Within an intensely competitive environment, the University has adopted a dynamic, global, high-quality, creative and communicative approach in education, as well as research and development.

Keeping abreast with modern developments, VSSUT is constantly restructuring itself and renovating its physical infrastructure as well as its research and education facilities."
What type of questions does VSSUT ask?,"Within an intensely competitive environment, the University has adopted a dynamic, global, high-quality, creative and communicative approach in education, as well as research and development.

Keeping abreast with modern developments, VSSUT is constantly restructuring itself and renovating its physical infrastructure as well as its research and education facilities."
What kind of facilities are available for students in the Campus?,"Facilities in laboratories of various departments and central facilities such as Computer Centre, Library, Internet Centre and workshop, separate hostels for boys and girls, conference hall, recreational amenities and other utility services are adequately available for the students in the Campus."
What kind of facilities are available to students in the Campus?,"Facilities in laboratories of various departments and central facilities such as Computer Centre, Library, Internet Centre and workshop, separate hostels for boys and girls, conference hall, recreational amenities and other utility services are adequately available for the students in the Campus."
Are facilities available for students in the Campus?,"Facilities in laboratories of various departments and central facilities such as Computer Centre, Library, Internet Centre and workshop, separate hostels for boys and girls, conference hall, recreational amenities and other utility services are adequately available for the students in the Campus."
Is the Semester system being followed for both Undergraduate and Post Graduate programmes?,Semester system is being followed for both Undergraduate and Post graduate programmes.
Is the semester system being followed for both Undergraduate and Post Graduate programmes?,Semester system is being followed for both Undergraduate and Post graduate programmes.
Is the semester system being followed for Undergraduate and Post Graduate programmes?,Semester system is being followed for both Undergraduate and Post graduate programmes.
What is the medium of instruction and teaching?,Medium of Instruction and teaching is English.
What is the medium of instruction?,Medium of Instruction and teaching is English.
What is the medium of instruction in English?,Medium of Instruction and teaching is English.
Is the syllabus updated regularly to maintain the level of technical education at par with other institutes of international repute?,The syllabus is updated at regular intervals keeping an eye to the advancements in technology and need of the industries so as to maintain the level of technical education at par with other institutes of international repute.
Is the syllabus updated at regular intervals to maintain the level of technical education at par with other institutes of international repute?,The syllabus is updated at regular intervals keeping an eye to the advancements in technology and need of the industries so as to maintain the level of technical education at par with other institutes of international repute.
Is the syllabus updated at regular intervals to keep the level of technical education at par with other institutes of international repute?,The syllabus is updated at regular intervals keeping an eye to the advancements in technology and need of the industries so as to maintain the level of technical education at par with other institutes of international repute.
What kind of questions can be asked at VSSUT?,"The University has infrastructures for all the indoor and outdoor games.

The following academic programmes are available at VSSUT
Bachelor of Technology (B.Tech)
Bachelor of Architecture (B.Arch)
Master of Technology(M.Tech)
Master of Science(M.Sc.)
Master of Philosophy (M.Phil)
Master in Computer Application(MCA)
Doctor of Philosophy(Ph.D.)
Admissions to various B.Tech."
What kind of questions are asked at VSSUT?,"The University has infrastructures for all the indoor and outdoor games.

The following academic programmes are available at VSSUT
Bachelor of Technology (B.Tech)
Bachelor of Architecture (B.Arch)
Master of Technology(M.Tech)
Master of Science(M.Sc.)
Master of Philosophy (M.Phil)
Master in Computer Application(MCA)
Doctor of Philosophy(Ph.D.)
Admissions to various B.Tech."
What kind of questions does VSSUT generate?,"The University has infrastructures for all the indoor and outdoor games.

The following academic programmes are available at VSSUT
Bachelor of Technology (B.Tech)
Bachelor of Architecture (B.Arch)
Master of Technology(M.Tech)
Master of Science(M.Sc.)
Master of Philosophy (M.Phil)
Master in Computer Application(MCA)
Doctor of Philosophy(Ph.D.)
Admissions to various B.Tech."
What is a B.A.?,and B.Arch.
What is a B.A.,and B.Arch.
What is the major difference between B.A. and B.A.?,and B.Arch.
What is the merit list published by JEE Main?,programmes are done from the merit list published by JEE Main.
What merit list is published by JEE Main?,programmes are done from the merit list published by JEE Main.
What merit list does JEE Main publish?,programmes are done from the merit list published by JEE Main.
Admission to various M.Tech.,Admission to various M.Tech.
Admission to various M.Tech. programs?,Admission to various M.Tech.
What does admission to various M.Tech. programs involve?,Admission to various M.Tech.
", M.Sc., M.A., M.A., M.A., M.A., M.A., M.A., M.A., M.A.,",", M.Sc."
", M.Sc.",", M.Sc."
", M.Sc., M.A., M.A., M.A., M.A., M.A., M.A., M.A., M.Sc.",", M.Sc."
What types of M.Phil programs are offered by the University?,and M.Phil programmes offered are conducted by University.
What types of M.Phil programmes are offered by the University?,and M.Phil programmes offered are conducted by University.
What type of M.Phil programs are offered by the University?,and M.Phil programmes offered are conducted by University.
What is the Orissa Joint Entrance Examination?,"However, the students to B.Tech (LE) as well as MCA Programme get admitted through Orissa Joint Entrance Examination(OJEE) conducted by Government of Odisha."
How is the Orissa Joint Entrance Examination conducted?,"However, the students to B.Tech (LE) as well as MCA Programme get admitted through Orissa Joint Entrance Examination(OJEE) conducted by Government of Odisha."
How are students to B.Tech (LE) as well as MCA Programme admitted through Orissa Joint Entrance Examination?,"However, the students to B.Tech (LE) as well as MCA Programme get admitted through Orissa Joint Entrance Examination(OJEE) conducted by Government of Odisha."
Are all engineering courses at Notre Dame AICTE approved?,All the engineering courses of the University are AICTE approved.
Are all engineering courses approved by AICTE?,All the engineering courses of the University are AICTE approved.
Are all engineering courses approved by the AICTE?,All the engineering courses of the University are AICTE approved.
What is the QIP Centre for Ph.D.,The University has a QIP Centre for Ph.D.
What does the University have a QIP Centre for Ph.D.,The University has a QIP Centre for Ph.D.
What kind of questions does the QIP Centre for Ph.D.,The University has a QIP Centre for Ph.D.
What types of programs are offered in engineering disciplines?,programmes in engineering disciplines.
What types of programs are in engineering disciplines?,programmes in engineering disciplines.
What types of programmes are offered in engineering disciplines?,programmes in engineering disciplines.
How many full time Scholars are admitted to the Ph.D. program at Notre Dame?,The University admits full time Scholars to the Ph.D.
Who is admitted to the Ph.D. program at Notre Dame?,The University admits full time Scholars to the Ph.D.
How many full time Scholars are admitted to the Ph.D program at Notre Dame?,The University admits full time Scholars to the Ph.D.
What types of programmes are offered at Notre Dame?,"Programmes in Engineering disciplines as well as in the field of Applied Sciences.

The Training and Placement section plays a very important and key role in counseling and guiding the students of the University for their successful career placement."
What types of programs are offered at Notre Dame?,"Programmes in Engineering disciplines as well as in the field of Applied Sciences.

The Training and Placement section plays a very important and key role in counseling and guiding the students of the University for their successful career placement."
What types of courses are offered at Notre Dame?,"Programmes in Engineering disciplines as well as in the field of Applied Sciences.

The Training and Placement section plays a very important and key role in counseling and guiding the students of the University for their successful career placement."
How many companies visit VSSUT for campus recruitment?,More than 50 reputed National and Multinational companies visit VSSUT for campus recruitment annually.
How many reputed companies visit VSSUT for campus recruitment?,More than 50 reputed National and Multinational companies visit VSSUT for campus recruitment annually.
How many companies visit VSSUT for campus recruitment each year?,More than 50 reputed National and Multinational companies visit VSSUT for campus recruitment annually.
How many students secure job offers before they leave the University?,100% of the students secure job offers before they complete their programme of studies and leave the University.
What percentage of students secure job offers before they leave the University?,100% of the students secure job offers before they complete their programme of studies and leave the University.
How many students get job offers before they leave the University?,100% of the students secure job offers before they complete their programme of studies and leave the University.
What kind of questions does the placement section ask?,The placement section ensures and takes care to provide the best arrangements and hospitality for the visiting companies' officials.
The placement section ensures and takes care to provide the best arrangements and hospitality for visiting companies' officials.,The placement section ensures and takes care to provide the best arrangements and hospitality for the visiting companies' officials.
The placement section ensures and takes care to provide the best arrangements and hospitality for the visiting companies' officials.,The placement section ensures and takes care to provide the best arrangements and hospitality for the visiting companies' officials.
"Are students doing extremely well in national level examinations like GATE, CAT, MAT, XAT, GRE, TOEFEL, IES and other competitive examinations?","Further, students of this University are doing extremely well in national level examinations like GATE, CAT, MAT, XAT, GRE, TOEFEL, IES and other competitive examinations."
"Are students doing well in national level examinations like GATE, CAT, MAT, XAT, GRE, TOEFEL, IES and other competitive examinations?","Further, students of this University are doing extremely well in national level examinations like GATE, CAT, MAT, XAT, GRE, TOEFEL, IES and other competitive examinations."
"Are students doing extremely well in national level examinations like GATE, CAT, MAT, XAT, GRE, TOEFEL, IES, and other competitive examinations?","Further, students of this University are doing extremely well in national level examinations like GATE, CAT, MAT, XAT, GRE, TOEFEL, IES and other competitive examinations."
